Image,Method,MSE,SSIM
Abdullah_Gul_0008,highpass,105.4835205078125,0.04341469945411831
Abdullah_Gul_0008,bandstop,98.3055419921875,0.5919232464660893
Abdullah_Gul_0009,sobel,100.64923095703125,0.0762051063749695
Abdullah_Gul_0009,prewitt,99.75885009765625,0.07821430790661936
Abdullah_Gul_0009,canny,101.276611328125,0.011820145257703878
Abdullah_Gul_0009,lowpass,100.1485595703125,0.5225512105281963
Abdullah_Gul_0009,highpass,98.1304931640625,0.04269866677399749
Abdullah_Gul_0009,bandstop,102.76544189453125,0.5537439213083303
Abdullah_Gul_0010,sobel,73.184326171875,0.35788112025182384
Abdullah_Gul_0010,prewitt,73.14373779296875,0.35639360476789983
Abdullah_Gul_0010,canny,77.6915283203125,0.2693193755806738
Abdullah_Gul_0010,lowpass,76.54132080078125,0.42734503980956906
Abdullah_Gul_0010,highpass,101.9564208984375,0.09740948980294749
Abdullah_Gul_0010,bandstop,102.748291015625,0.42428060228201464
Abdullah_Gul_0011,sobel,104.11627197265625,0.11572364593505548
Abdullah_Gul_0011,prewitt,104.77764892578125,0.115784930063347
Abdullah_Gul_0011,canny,107.14251708984375,0.014533776778622498
Abdullah_Gul_0011,lowpass,89.173095703125,0.4702119894955017
Abdullah_Gul_0011,highpass,103.8665771484375,0.10240076999529238
Abdullah_Gul_0011,bandstop,104.21270751953125,0.5249999942063457
Abdullah_Gul_0012,sobel,110.31805419921875,0.11771516231908982
Abdullah_Gul_0012,prewitt,111.29083251953125,0.11750280537373323
Abdullah_Gul_0012,canny,114.8568115234375,0.013514115054664495
Abdullah_Gul_0012,lowpass,77.77349853515625,0.5990653615581162
Abdullah_Gul_0012,highpass,105.82379150390625,0.16720733395183673
Abdullah_Gul_0012,bandstop,100.33343505859375,0.5507945828140854
Abdullah_Gul_0013,sobel,103.28277587890625,0.0980209098503381
Abdullah_Gul_0013,prewitt,103.892333984375,0.0989954482938779
Abdullah_Gul_0013,canny,106.31097412109375,0.011340324362130498
Abdullah_Gul_0013,lowpass,90.1551513671875,0.5111747855061175
Abdullah_Gul_0013,highpass,102.41790771484375,0.07692499187649783
